time_sec,stage_calls,stage_ok,stage_avg_us,stage_bw_mib,copy_calls,copy_segs,copy_avg_us,flush_calls,flush_segs,flush_avg_us,flush_bw_mib,bottleneck_code
1.0,24821.0,24821.0,1.12,96.96,24804.0,24804.0,16.0,0.0,0.0,0.0,0.0,1.0
2.0,16408.0,16408.0,1.45,64.09,16402.0,16402.0,45.98,0.0,0.0,0.0,0.0,1.0
3.0,11742.0,11742.0,1.31,45.87,11742.0,11742.0,67.38,0.0,0.0,0.0,0.0,1.0
4.0,9355.0,9355.0,1.51,36.54,9360.0,9360.0,84.55,0.0,0.0,0.0,0.0,1.0
5.0,7867.0,7867.0,1.64,30.73,7863.0,7863.0,101.72,0.0,0.0,0.0,0.0,1.0
6.0,7103.0,7103.0,1.72,27.75,7102.0,7102.0,114.64,0.0,0.0,0.0,0.0,1.0
7.0,6211.0,6210.0,1.76,24.26,6209.0,6209.0,130.74,0.0,0.0,0.0,0.0,1.0
8.0,6241.0,6241.0,1.73,24.38,6248.0,6248.0,131.96,0.0,0.0,0.0,0.0,1.0
9.0,5719.0,5719.0,1.53,22.34,5711.0,5711.0,145.1,0.0,0.0,0.0,0.0,1.0
10.0,5331.0,5331.0,1.55,20.82,5341.0,5341.0,157.22,0.0,0.0,0.0,0.0,1.0
11.0,4327.0,4327.0,1.93,16.9,4325.0,4325.0,194.19,0.0,0.0,0.0,0.0,1.0
12.0,4352.0,4352.0,1.64,17.0,4359.0,4359.0,194.15,0.0,0.0,0.0,0.0,1.0
13.0,3670.0,3670.0,1.99,14.34,3668.0,3668.0,231.49,0.0,0.0,0.0,0.0,1.0
14.0,4049.0,4049.0,2.09,15.82,4049.0,4049.0,212.85,0.0,0.0,0.0,0.0,1.0
15.0,3919.0,3919.0,1.99,15.31,3908.0,3908.0,222.91,0.0,0.0,0.0,0.0,1.0
16.0,4175.0,4175.0,1.19,16.31,4187.0,4187.0,207.55,1.0,32252.0,18666.24,125.98,2.0
17.0,5627.0,5627.0,1.08,21.98,5630.0,5630.0,147.28,1.0,32237.0,24376.05,125.93,2.0
18.0,14148.0,14148.0,1.04,55.27,14144.0,14144.0,53.43,2.0,64497.0,17850.29,251.94,2.0
19.0,14107.0,14107.0,0.95,55.11,14098.0,14098.0,54.8,0.0,0.0,0.0,0.0,1.0
20.0,9980.0,9980.0,1.0,38.98,9985.0,9985.0,79.56,0.0,0.0,0.0,0.0,1.0
21.0,7929.0,7929.0,1.08,30.97,7932.0,7932.0,102.52,0.0,0.0,0.0,0.0,1.0
22.0,6799.0,6799.0,1.22,26.56,6810.0,6810.0,119.66,0.0,0.0,0.0,0.0,1.0
23.0,5948.0,5948.0,1.35,23.23,5938.0,5938.0,139.68,0.0,0.0,0.0,0.0,1.0
24.0,5404.0,5404.0,1.18,21.11,5403.0,5403.0,155.53,0.0,0.0,0.0,0.0,1.0
25.0,5134.0,5134.0,1.43,20.05,5130.0,5130.0,166.38,0.0,0.0,0.0,0.0,1.0
26.0,4021.0,4021.0,1.33,15.71,4013.0,4013.0,216.33,0.0,0.0,0.0,0.0,1.0
27.0,4024.0,4024.0,1.37,15.72,4031.0,4031.0,214.27,0.0,0.0,0.0,0.0,1.0
28.0,4601.0,4601.0,1.15,17.97,4605.0,4605.0,185.95,0.0,0.0,0.0,0.0,1.0
29.0,4095.0,4095.0,1.16,16.0,4084.0,4084.0,211.66,0.0,0.0,0.0,0.0,1.0
30.0,4015.0,4015.0,1.14,15.68,4026.0,4026.0,215.02,0.0,0.0,0.0,0.0,1.0
