time_sec,calls,segs,avg_us,lock_wait_us,lock_hold_us,lookup_us,mcp_release_us,loop_us,mirror_us,index_us,reclaim_us,rm_track_us
1.0,25583.0,25583.0,16.53,0.15,12.8,0.1,0.03,12.36,0.56,0.23,0.02,0.16
2.0,16611.0,16611.0,47.49,0.17,42.07,0.14,0.03,41.51,0.8,0.31,0.03,0.23
3.0,11485.0,11485.0,69.99,0.18,64.74,0.16,0.04,64.06,0.99,0.36,0.04,0.32
4.0,9203.0,9203.0,87.16,0.22,81.94,0.17,0.04,81.18,1.02,0.4,0.04,0.37
5.0,7539.0,7539.0,106.55,0.23,101.42,0.18,0.04,100.58,1.13,0.44,0.04,0.42
6.0,7205.0,7205.0,113.56,0.27,108.31,0.19,0.04,107.45,1.06,0.44,0.04,0.44
7.0,6572.0,6572.0,124.83,0.22,119.71,0.19,0.05,118.84,1.06,0.43,0.04,0.45
8.0,5631.0,5631.0,147.41,0.24,141.93,0.19,0.05,140.99,1.2,0.46,0.05,0.5
9.0,5570.0,5570.0,151.66,0.25,146.25,0.19,0.05,145.3,1.15,0.46,0.05,0.5
10.0,5034.0,5034.0,168.26,0.2,162.7,0.2,0.05,161.69,1.15,0.47,0.05,0.54
11.0,4805.0,4805.0,179.12,0.23,173.36,0.2,0.05,172.35,1.22,0.52,0.05,0.54
12.0,4711.0,4711.0,183.25,0.23,177.82,0.2,0.05,176.83,1.14,0.48,0.05,0.54
13.0,4009.0,4009.0,218.07,0.26,211.82,0.22,0.06,210.73,1.29,0.52,0.05,0.6
14.0,4097.0,4097.0,212.36,0.26,206.28,0.21,0.06,205.2,1.21,0.5,0.06,0.59
15.0,3918.0,3918.0,223.15,0.24,217.09,0.27,0.06,215.94,1.22,0.52,0.05,0.59
16.0,4887.0,4887.0,177.86,3.29,169.38,0.2,0.06,168.47,1.15,0.45,0.04,0.46
17.0,5793.0,5793.0,147.5,6.54,136.02,0.18,0.05,135.21,1.0,0.42,0.04,0.4
18.0,20480.0,20480.0,34.94,0.12,30.43,0.12,0.04,29.89,0.76,0.29,0.03,0.22
19.0,11515.0,11515.0,67.74,0.15,62.58,0.15,0.04,61.94,0.95,0.37,0.03,0.28
20.0,8756.0,8756.0,90.46,0.16,85.33,0.17,0.04,84.62,1.01,0.41,0.04,0.33
21.0,7928.0,7928.0,102.65,0.18,97.67,0.17,0.04,96.92,0.95,0.41,0.04,0.36
22.0,6774.0,6774.0,121.39,0.18,116.29,0.18,0.04,115.47,1.07,0.42,0.04,0.42
23.0,5911.0,5911.0,141.06,0.18,135.66,0.2,0.05,134.74,1.22,0.47,0.04,0.49
24.0,5662.0,5662.0,148.59,0.19,143.13,0.19,0.04,142.2,1.14,0.46,0.05,0.5
25.0,4999.0,4999.0,169.14,0.23,163.05,0.2,0.05,162.1,1.2,0.5,0.05,0.52
26.0,4736.0,4736.0,178.18,0.17,172.63,0.19,0.04,171.67,1.2,0.49,0.05,0.53
27.0,4685.0,4685.0,184.89,0.2,179.22,0.19,0.04,178.26,1.22,0.49,0.05,0.54
28.0,3892.0,3892.0,226.44,0.2,220.03,0.2,0.05,218.95,1.3,0.55,0.05,0.64
29.0,3878.0,3878.0,223.83,0.23,217.79,0.21,0.05,216.72,1.33,0.56,0.05,0.61
30.0,4055.0,4055.0,212.9,0.19,206.91,0.19,0.04,205.92,1.17,0.5,0.05,0.55
