rw,num_jobs,cache_size,qd,metric,unit,value
randread,1,512KB,1,latency_avg,us,74.415140
randread,1,512KB,2,latency_avg,us,76.881660
randread,1,512KB,4,latency_avg,us,82.886110
randread,1,512KB,6,latency_avg,us,87.540000
randread,1,512KB,8,latency_avg,us,99.130000
randread,1,512KB,10,latency_avg,us,107.520000
randread,1,512KB,12,latency_avg,us,125.870000
randread,1,512KB,14,latency_avg,us,149.620000
randread,1,512KB,16,latency_avg,us,172.720000
randread,1,512KB,18,latency_avg,us,188.100000
randread,1,512KB,20,latency_avg,us,208.580000
randread,1,512KB,22,latency_avg,us,230.880000
randread,1,512KB,24,latency_avg,us,249.010000
randread,1,512KB,26,latency_avg,us,272.820000
randread,1,512KB,28,latency_avg,us,301.520000
randread,1,512KB,30,latency_avg,us,312.870000
randread,1,512KB,32,latency_avg,us,336.310000
randread,1,1024KB,1,latency_avg,us,64.682250
randread,1,1024KB,2,latency_avg,us,66.821540
randread,1,1024KB,4,latency_avg,us,72.110000
randread,1,1024KB,6,latency_avg,us,78.990000
randread,1,1024KB,8,latency_avg,us,86.640000
randread,1,1024KB,10,latency_avg,us,101.820000
randread,1,1024KB,12,latency_avg,us,124.520000
randread,1,1024KB,14,latency_avg,us,145.740000
randread,1,1024KB,16,latency_avg,us,156.790000
randread,1,1024KB,18,latency_avg,us,194.870000
randread,1,1024KB,20,latency_avg,us,210.530000
randread,1,1024KB,22,latency_avg,us,226.470000
randread,1,1024KB,24,latency_avg,us,264.594390
randread,1,1024KB,26,latency_avg,us,277.250000
randread,1,1024KB,28,latency_avg,us,303.690000
randread,1,1024KB,30,latency_avg,us,339.270000
randread,1,1024KB,32,latency_avg,us,344.660000
randread,1,1536KB,1,latency_avg,us,53.876470
randread,1,1536KB,2,latency_avg,us,57.138400
randread,1,1536KB,4,latency_avg,us,62.336270
randread,1,1536KB,6,latency_avg,us,69.660000
randread,1,1536KB,8,latency_avg,us,80.980000
randread,1,1536KB,10,latency_avg,us,101.410000
randread,1,1536KB,12,latency_avg,us,121.720000
randread,1,1536KB,14,latency_avg,us,143.930000
randread,1,1536KB,16,latency_avg,us,169.190000
randread,1,1536KB,18,latency_avg,us,196.510000
randread,1,1536KB,20,latency_avg,us,215.050000
randread,1,1536KB,22,latency_avg,us,228.800000
randread,1,1536KB,24,latency_avg,us,252.300000
randread,1,1536KB,26,latency_avg,us,271.190000
randread,1,1536KB,28,latency_avg,us,289.610000
randread,1,1536KB,30,latency_avg,us,315.880000
randread,1,1536KB,32,latency_avg,us,334.390000
randread,1,2048KB,1,latency_avg,us,43.611420
randread,1,2048KB,2,latency_avg,us,49.550000
randread,1,2048KB,4,latency_avg,us,52.310000
randread,1,2048KB,6,latency_avg,us,55.300000
randread,1,2048KB,8,latency_avg,us,76.750000
randread,1,2048KB,10,latency_avg,us,96.420000
randread,1,2048KB,12,latency_avg,us,117.280000
randread,1,2048KB,14,latency_avg,us,139.400000
randread,1,2048KB,16,latency_avg,us,157.210000
randread,1,2048KB,18,latency_avg,us,168.000000
randread,1,2048KB,20,latency_avg,us,198.810000
randread,1,2048KB,22,latency_avg,us,220.100000
randread,1,2048KB,24,latency_avg,us,239.990000
randread,1,2048KB,26,latency_avg,us,263.340000
randread,1,2048KB,28,latency_avg,us,283.690000
randread,1,2048KB,30,latency_avg,us,302.320000
randread,1,2048KB,32,latency_avg,us,323.400000
randread,2,512KB,1,latency_avg,us,75.472830
randread,2,512KB,2,latency_avg,us,78.921850
randread,2,512KB,4,latency_avg,us,85.125710
randread,2,512KB,6,latency_avg,us,90.570000
randread,2,512KB,8,latency_avg,us,97.910000
randread,2,512KB,10,latency_avg,us,109.320000
randread,2,512KB,12,latency_avg,us,126.980000
randread,2,512KB,14,latency_avg,us,147.290000
randread,2,512KB,16,latency_avg,us,169.900000
randread,2,512KB,18,latency_avg,us,190.430000
