rw,num_jobs,cache_size,qd,metric,unit,value
randread,1,512KB,1,bandwidth,MiB/s,45.400000
randread,1,512KB,2,bandwidth,MiB/s,87.900000
randread,1,512KB,4,bandwidth,MiB/s,169.000000
randread,1,512KB,6,bandwidth,MiB/s,163.000000
randread,1,512KB,8,bandwidth,MiB/s,321.000000
randread,1,512KB,12,bandwidth,MiB/s,432.000000
randread,1,512KB,16,bandwidth,MiB/s,361.000000
randread,1,512KB,20,bandwidth,MiB/s,364.000000
randread,1,512KB,24,bandwidth,MiB/s,467.000000
randread,1,512KB,28,bandwidth,MiB/s,462.000000
randread,1,512KB,32,bandwidth,MiB/s,356.000000
randread,1,1024KB,1,bandwidth,MiB/s,53.400000
randread,1,1024KB,2,bandwidth,MiB/s,100.000000
randread,1,1024KB,4,bandwidth,MiB/s,194.000000
randread,1,1024KB,6,bandwidth,MiB/s,288.000000
randread,1,1024KB,8,bandwidth,MiB/s,358.000000
randread,1,1024KB,12,bandwidth,MiB/s,449.000000
randread,1,1024KB,16,bandwidth,MiB/s,362.000000
randread,1,1024KB,20,bandwidth,MiB/s,449.000000
randread,1,1024KB,24,bandwidth,MiB/s,461.000000
randread,1,1024KB,28,bandwidth,MiB/s,468.000000
randread,1,1024KB,32,bandwidth,MiB/s,466.000000
randread,1,1536KB,1,bandwidth,MiB/s,58.600000
randread,1,1536KB,2,bandwidth,MiB/s,119.000000
randread,1,1536KB,4,bandwidth,MiB/s,220.000000
randread,1,1536KB,6,bandwidth,MiB/s,332.000000
randread,1,1536KB,8,bandwidth,MiB/s,405.000000
randread,1,1536KB,12,bandwidth,MiB/s,237.000000
randread,1,1536KB,16,bandwidth,MiB/s,273.000000
randread,1,1536KB,20,bandwidth,MiB/s,459.000000
randread,1,1536KB,24,bandwidth,MiB/s,459.000000
randread,1,1536KB,28,bandwidth,MiB/s,397.000000
randread,1,1536KB,32,bandwidth,MiB/s,469.000000
randread,1,2048KB,1,bandwidth,MiB/s,75.200000
randread,1,2048KB,2,bandwidth,MiB/s,149.000000
randread,1,2048KB,4,bandwidth,MiB/s,265.000000
randread,1,2048KB,6,bandwidth,MiB/s,421.000000
randread,1,2048KB,8,bandwidth,MiB/s,450.000000
randread,1,2048KB,12,bandwidth,MiB/s,450.000000
randread,1,2048KB,16,bandwidth,MiB/s,462.000000
randread,1,2048KB,20,bandwidth,MiB/s,378.000000
randread,1,2048KB,24,bandwidth,MiB/s,460.000000
randread,1,2048KB,28,bandwidth,MiB/s,460.000000
randread,1,2048KB,32,bandwidth,MiB/s,486.000000
randread,16,512KB,1,bandwidth,MiB/s,403.000000
randread,16,512KB,2,bandwidth,MiB/s,626.000000
randread,16,512KB,4,bandwidth,MiB/s,676.000000
randread,16,512KB,6,bandwidth,MiB/s,774.000000
randread,16,512KB,8,bandwidth,MiB/s,828.000000
randread,16,512KB,12,bandwidth,MiB/s,962.000000
randread,16,512KB,16,bandwidth,MiB/s,1052.000000
randread,16,512KB,20,bandwidth,MiB/s,1144.000000
randread,16,512KB,24,bandwidth,MiB/s,1226.000000
randread,16,512KB,28,bandwidth,MiB/s,1320.000000
randread,16,512KB,32,bandwidth,MiB/s,1361.000000
randread,16,1024KB,1,bandwidth,MiB/s,466.000000
randread,16,1024KB,2,bandwidth,MiB/s,611.000000
randread,16,1024KB,4,bandwidth,MiB/s,649.000000
randread,16,1024KB,6,bandwidth,MiB/s,789.000000
randread,16,1024KB,8,bandwidth,MiB/s,865.000000
