rw,num_jobs,cache_size,qd,metric,unit,value
randread,1,512KB,1,latency_avg,us,78.362500
randread,1,512KB,2,latency_avg,us,78.916087
randread,1,512KB,4,latency_avg,us,80.023968
randread,1,512KB,6,latency_avg,us,81.132780
randread,1,512KB,8,latency_avg,us,84.947142
randread,1,512KB,10,latency_avg,us,98.009970
randread,1,512KB,12,latency_avg,us,111.840892
randread,1,512KB,14,latency_avg,us,126.325957
randread,1,512KB,16,latency_avg,us,141.355169
randread,1,512KB,18,latency_avg,us,156.827484
randread,1,512KB,20,latency_avg,us,172.653790
randread,1,512KB,22,latency_avg,us,188.758126
randread,1,512KB,24,latency_avg,us,205.077567
randread,1,512KB,26,latency_avg,us,221.561240
randread,1,512KB,28,latency_avg,us,238.168852
randread,1,512KB,30,latency_avg,us,254.869045
randread,1,512KB,32,latency_avg,us,271.637782
randread,1,1024KB,1,latency_avg,us,68.262500
randread,1,1024KB,2,latency_avg,us,68.779349
randread,1,1024KB,4,latency_avg,us,69.815365
randread,1,1024KB,6,latency_avg,us,72.763361
randread,1,1024KB,8,latency_avg,us,84.947142
randread,1,1024KB,10,latency_avg,us,98.009970
randread,1,1024KB,12,latency_avg,us,111.840892
randread,1,1024KB,14,latency_avg,us,126.325957
randread,1,1024KB,16,latency_avg,us,141.355169
randread,1,1024KB,18,latency_avg,us,156.827484
randread,1,1024KB,20,latency_avg,us,172.653790
randread,1,1024KB,22,latency_avg,us,188.758126
randread,1,1024KB,24,latency_avg,us,205.077567
randread,1,1024KB,26,latency_avg,us,221.561240
randread,1,1024KB,28,latency_avg,us,238.168852
randread,1,1024KB,30,latency_avg,us,254.869045
randread,1,1024KB,32,latency_avg,us,271.637782
randread,1,1536KB,1,latency_avg,us,58.162500
randread,1,1536KB,2,latency_avg,us,58.689926
randread,1,1536KB,4,latency_avg,us,61.558177
randread,1,1536KB,6,latency_avg,us,72.763361
randread,1,1536KB,8,latency_avg,us,84.947142
randread,1,1536KB,10,latency_avg,us,98.009970
randread,1,1536KB,12,latency_avg,us,111.840892
randread,1,1536KB,14,latency_avg,us,126.325957
randread,1,1536KB,16,latency_avg,us,141.355169
randread,1,1536KB,18,latency_avg,us,156.827484
randread,1,1536KB,20,latency_avg,us,172.653790
randread,1,1536KB,22,latency_avg,us,188.758126
randread,1,1536KB,24,latency_avg,us,205.077567
randread,1,1536KB,26,latency_avg,us,221.561240
randread,1,1536KB,28,latency_avg,us,238.168852
randread,1,1536KB,30,latency_avg,us,254.869045
randread,1,1536KB,32,latency_avg,us,271.637782
randread,1,2048KB,1,latency_avg,us,48.062500
randread,1,2048KB,2,latency_avg,us,51.410929
randread,1,2048KB,4,latency_avg,us,61.558177
randread,1,2048KB,6,latency_avg,us,72.763361
randread,1,2048KB,8,latency_avg,us,84.947142
randread,1,2048KB,10,latency_avg,us,98.009970
randread,1,2048KB,12,latency_avg,us,111.840892
randread,1,2048KB,14,latency_avg,us,126.325957
randread,1,2048KB,16,latency_avg,us,141.355169
randread,1,2048KB,18,latency_avg,us,156.827484
randread,1,2048KB,20,latency_avg,us,172.653790
randread,1,2048KB,22,latency_avg,us,188.758126
randread,1,2048KB,24,latency_avg,us,205.077567
randread,1,2048KB,26,latency_avg,us,221.561240
randread,1,2048KB,28,latency_avg,us,238.168852
randread,1,2048KB,30,latency_avg,us,254.869045
randread,1,2048KB,32,latency_avg,us,271.637782
randread,2,512KB,1,latency_avg,us,78.916087
randread,2,512KB,2,latency_avg,us,80.023968
randread,2,512KB,4,latency_avg,us,90.753325
randread,2,512KB,6,latency_avg,us,107.272783
randread,2,512KB,8,latency_avg,us,125.234957
randread,2,512KB,10,latency_avg,us,144.493081
randread,2,512KB,12,latency_avg,us,164.883584
randread,2,512KB,14,latency_avg,us,186.238470
randread,2,512KB,16,latency_avg,us,208.395574
randread,2,512KB,18,latency_avg,us,231.205931
randread,2,512KB,20,latency_avg,us,254.538168
randread,2,512KB,22,latency_avg,us,278.280294
randread,2,512KB,24,latency_avg,us,302.339544
randread,2,512KB,26,latency_avg,us,326.640916
randread,2,512KB,28,latency_avg,us,351.125006
randread,2,512KB,30,latency_avg,us,375.745588
randread,2,512KB,32,latency_avg,us,400.467221
