rw,num_jobs,cache_size,qd,metric,unit,value
randread,1,512KB,1,iops,KIOPS,14.164306
randread,1,512KB,2,iops,KIOPS,28.108327
randread,1,512KB,4,iops,KIOPS,55.355201
randread,1,512KB,6,iops,KIOPS,81.778572
randread,1,512KB,8,iops,KIOPS,107.414211
randread,1,512KB,10,iops,KIOPS,132.295867
randread,1,512KB,12,iops,KIOPS,156.455406
randread,1,512KB,14,iops,KIOPS,179.922937
randread,1,512KB,16,iops,KIOPS,202.726936
randread,1,512KB,18,iops,KIOPS,224.894348
randread,1,512KB,20,iops,KIOPS,246.450693
randread,1,512KB,22,iops,KIOPS,267.420156
randread,1,512KB,24,iops,KIOPS,287.825674
randread,1,512KB,26,iops,KIOPS,307.689011
randread,1,512KB,28,iops,KIOPS,327.030838
randread,1,512KB,30,iops,KIOPS,345.870796
randread,1,512KB,32,iops,KIOPS,364.227560
randread,1,1024KB,1,iops,KIOPS,16.528926
randread,1,1024KB,2,iops,KIOPS,32.778004
randread,1,1024KB,4,iops,KIOPS,64.462151
randread,1,1024KB,6,iops,KIOPS,95.101665
randread,1,1024KB,8,iops,KIOPS,124.742965
randread,1,1024KB,10,iops,KIOPS,153.429857
randread,1,1024KB,12,iops,KIOPS,181.203716
randread,1,1024KB,14,iops,KIOPS,208.103651
randread,1,1024KB,16,iops,KIOPS,234.166652
randread,1,1024KB,18,iops,KIOPS,259.427738
randread,1,1024KB,20,iops,KIOPS,283.920074
randread,1,1024KB,22,iops,KIOPS,307.675102
randread,1,1024KB,24,iops,KIOPS,330.722642
randread,1,1024KB,26,iops,KIOPS,353.090996
randread,1,1024KB,28,iops,KIOPS,374.807045
randread,1,1024KB,30,iops,KIOPS,395.896330
randread,1,1024KB,32,iops,KIOPS,416.383139
randread,1,1536KB,1,iops,KIOPS,19.841270
randread,1,1536KB,2,iops,KIOPS,39.271873
randread,1,1536KB,4,iops,KIOPS,76.944610
randread,1,1536KB,6,iops,KIOPS,113.101920
randread,1,1536KB,8,iops,KIOPS,147.822405
randread,1,1536KB,10,iops,KIOPS,181.179910
randread,1,1536KB,12,iops,KIOPS,213.243836
randread,1,1536KB,14,iops,KIOPS,244.079445
randread,1,1536KB,16,iops,KIOPS,273.748132
randread,1,1536KB,18,iops,KIOPS,302.307679
randread,1,1536KB,20,iops,KIOPS,329.812495
randread,1,1536KB,22,iops,KIOPS,356.313833
randread,1,1536KB,24,iops,KIOPS,381.859997
randread,1,1536KB,26,iops,KIOPS,406.496532
randread,1,1536KB,28,iops,KIOPS,430.266398
randread,1,1536KB,30,iops,KIOPS,453.210140
randread,1,1536KB,32,iops,KIOPS,475.366033
randread,1,2048KB,1,iops,KIOPS,24.813896
randread,1,2048KB,2,iops,KIOPS,48.875440
randread,1,2048KB,4,iops,KIOPS,94.873377
randread,1,2048KB,6,iops,KIOPS,138.239016
randread,1,2048KB,8,iops,KIOPS,179.190649
randread,1,2048KB,10,iops,KIOPS,217.923223
randread,1,2048KB,12,iops,KIOPS,254.611363
randread,1,2048KB,14,iops,KIOPS,289.411935
randread,1,2048KB,16,iops,KIOPS,322.466241
randread,1,2048KB,18,iops,KIOPS,353.901889
randread,1,2048KB,20,iops,KIOPS,383.834405
randread,1,2048KB,22,iops,KIOPS,412.368627
randread,1,2048KB,24,iops,KIOPS,439.599903
randread,1,2048KB,26,iops,KIOPS,465.615141
randread,1,2048KB,28,iops,KIOPS,490.493715
randread,1,2048KB,30,iops,KIOPS,514.308264
randread,1,2048KB,32,iops,KIOPS,537.125390
randread,2,512KB,1,iops,KIOPS,28.108327
randread,2,512KB,2,iops,KIOPS,55.355201
randread,2,512KB,4,iops,KIOPS,107.414211
randread,2,512KB,6,iops,KIOPS,156.455406
randread,2,512KB,8,iops,KIOPS,202.726936
randread,2,512KB,10,iops,KIOPS,246.450693
randread,2,512KB,12,iops,KIOPS,287.825674
randread,2,512KB,14,iops,KIOPS,327.030838
randread,2,512KB,16,iops,KIOPS,364.227560
randread,2,512KB,18,iops,KIOPS,399.561718
randread,2,512KB,20,iops,KIOPS,433.165511
randread,2,512KB,22,iops,KIOPS,465.159008
randread,2,512KB,24,iops,KIOPS,495.651511
randread,2,512KB,26,iops,KIOPS,524.742724
randread,2,512KB,28,iops,KIOPS,552.523785
randread,2,512KB,30,iops,KIOPS,579.078158
randread,2,512KB,32,iops,KIOPS,604.482425
randread,2,1024KB,1,iops,KIOPS,32.778004
randread,2,1024KB,2,iops,KIOPS,64.462151
randread,2,1024KB,4,iops,KIOPS,124.742965
randread,2,1024KB,6,iops,KIOPS,181.203716
randread,2,1024KB,8,iops,KIOPS,234.166652
randread,2,1024KB,10,iops,KIOPS,283.920074
randread,2,1024KB,12,iops,KIOPS,330.722642
randread,2,1024KB,14,iops,KIOPS,374.807045
randread,2,1024KB,16,iops,KIOPS,416.383139
randread,2,1024KB,18,iops,KIOPS,455.640646
randread,2,1024KB,20,iops,KIOPS,492.751469
randread,2,1024KB,22,iops,KIOPS,527.871708
randread,2,1024KB,24,iops,KIOPS,561.143401
randread,2,1024KB,26,iops,KIOPS,592.696041
randread,2,1024KB,28,iops,KIOPS,622.647907
randread,2,1024KB,30,iops,KIOPS,651.107220
randread,2,1024KB,32,iops,KIOPS,678.173169
randread,2,1536KB,1,iops,KIOPS,39.271873
randread,2,1536KB,2,iops,KIOPS,76.944610
randread,2,1536KB,4,iops,KIOPS,147.822405
randread,2,1536KB,6,iops,KIOPS,213.243836
randread,2,1536KB,8,iops,KIOPS,273.748132
randread,2,1536KB,10,iops,KIOPS,329.812495
randread,2,1536KB,12,iops,KIOPS,381.859997
randread,2,1536KB,14,iops,KIOPS,430.266398
randread,2,1536KB,16,iops,KIOPS,475.366033
randread,2,1536KB,18,iops,KIOPS,517.456909
randread,2,1536KB,20,iops,KIOPS,556.805122
randread,2,1536KB,22,iops,KIOPS,593.648697
randread,2,1536KB,24,iops,KIOPS,628.200920
randread,2,1536KB,26,iops,KIOPS,660.653251
randread,2,1536KB,28,iops,KIOPS,691.177847
randread,2,1536KB,30,iops,KIOPS,719.929785
randread,2,1536KB,32,iops,KIOPS,747.048990
randread,2,2048KB,1,iops,KIOPS,48.875440
randread,2,2048KB,2,iops,KIOPS,94.873377
randread,2,2048KB,4,iops,KIOPS,179.190649
randread,2,2048KB,6,iops,KIOPS,254.611363
randread,2,2048KB,8,iops,KIOPS,322.466241
randread,2,2048KB,10,iops,KIOPS,383.834405
randread,2,2048KB,12,iops,KIOPS,439.599903
