rw,num_jobs,cache_size,qd,metric,unit,value
randread,1,512KB,1,iops,KIOPS,11.600000
randread,1,512KB,2,iops,KIOPS,22.500000
randread,1,512KB,4,iops,KIOPS,43.300000
randread,1,512KB,6,iops,KIOPS,41.800000
randread,1,512KB,8,iops,KIOPS,82.100000
randread,1,512KB,12,iops,KIOPS,111.000000
randread,1,512KB,16,iops,KIOPS,92.500000
randread,1,512KB,20,iops,KIOPS,93.100000
randread,1,512KB,24,iops,KIOPS,120.000000
randread,1,512KB,28,iops,KIOPS,118.000000
randread,1,512KB,32,iops,KIOPS,91.000000
randread,1,1024KB,1,iops,KIOPS,13.700000
randread,1,1024KB,2,iops,KIOPS,25.600000
randread,1,1024KB,4,iops,KIOPS,49.700000
randread,1,1024KB,6,iops,KIOPS,73.700000
randread,1,1024KB,8,iops,KIOPS,91.600000
randread,1,1024KB,12,iops,KIOPS,115.000000
randread,1,1024KB,16,iops,KIOPS,92.600000
randread,1,1024KB,20,iops,KIOPS,115.000000
randread,1,1024KB,24,iops,KIOPS,118.000000
randread,1,1024KB,28,iops,KIOPS,120.000000
randread,1,1024KB,32,iops,KIOPS,119.000000
randread,1,1536KB,1,iops,KIOPS,15.000000
randread,1,1536KB,2,iops,KIOPS,30.500000
randread,1,1536KB,4,iops,KIOPS,56.300000
randread,1,1536KB,6,iops,KIOPS,84.900000
randread,1,1536KB,8,iops,KIOPS,104.000000
randread,1,1536KB,12,iops,KIOPS,60.800000
randread,1,1536KB,16,iops,KIOPS,70.000000
randread,1,1536KB,20,iops,KIOPS,118.000000
randread,1,1536KB,24,iops,KIOPS,118.000000
randread,1,1536KB,28,iops,KIOPS,102.000000
randread,1,1536KB,32,iops,KIOPS,120.000000
randread,1,2048KB,1,iops,KIOPS,19.200000
randread,1,2048KB,2,iops,KIOPS,38.100000
randread,1,2048KB,4,iops,KIOPS,67.900000
randread,1,2048KB,6,iops,KIOPS,108.000000
randread,1,2048KB,8,iops,KIOPS,115.000000
randread,1,2048KB,12,iops,KIOPS,115.000000
randread,1,2048KB,16,iops,KIOPS,118.000000
randread,1,2048KB,20,iops,KIOPS,96.700000
randread,1,2048KB,24,iops,KIOPS,118.000000
randread,1,2048KB,28,iops,KIOPS,118.000000
randread,1,2048KB,32,iops,KIOPS,124.000000
randread,16,512KB,1,iops,KIOPS,103.000000
randread,16,512KB,2,iops,KIOPS,160.000000
randread,16,512KB,4,iops,KIOPS,173.000000
randread,16,512KB,6,iops,KIOPS,198.000000
randread,16,512KB,8,iops,KIOPS,212.000000
randread,16,512KB,12,iops,KIOPS,246.000000
randread,16,512KB,16,iops,KIOPS,269.000000
randread,16,512KB,20,iops,KIOPS,293.000000
randread,16,512KB,24,iops,KIOPS,314.000000
randread,16,512KB,28,iops,KIOPS,338.000000
randread,16,512KB,32,iops,KIOPS,348.000000
randread,16,1024KB,1,iops,KIOPS,119.000000
randread,16,1024KB,2,iops,KIOPS,156.000000
randread,16,1024KB,4,iops,KIOPS,166.000000
randread,16,1024KB,6,iops,KIOPS,202.000000
randread,16,1024KB,8,iops,KIOPS,221.000000
randread,16,1024KB,12,iops,KIOPS,254.000000
randread,16,1024KB,16,iops,KIOPS,288.000000
randread,16,1024KB,20,iops,KIOPS,304.000000
randread,16,1024KB,24,iops,KIOPS,319.000000
randread,16,1024KB,28,iops,KIOPS,347.000000
randread,16,1024KB,32,iops,KIOPS,369.000000
randread,16,1536KB,1,iops,KIOPS,122.000000
randread,16,1536KB,2,iops,KIOPS,167.000000
randread,16,1536KB,4,iops,KIOPS,190.000000
randread,16,1536KB,6,iops,KIOPS,209.000000
randread,16,1536KB,8,iops,KIOPS,233.000000
randread,16,1536KB,12,iops,KIOPS,260.000000
randread,16,1536KB,16,iops,KIOPS,281.000000
randread,16,1536KB,20,iops,KIOPS,307.000000
randread,16,1536KB,24,iops,KIOPS,326.000000
randread,16,1536KB,28,iops,KIOPS,344.000000
randread,16,1536KB,32,iops,KIOPS,367.000000
randread,16,2048KB,1,iops,KIOPS,150.000000
randread,16,2048KB,2,iops,KIOPS,184.000000
randread,16,2048KB,4,iops,KIOPS,190.000000
randread,16,2048KB,6,iops,KIOPS,163.000000
randread,16,2048KB,8,iops,KIOPS,242.000000
randread,16,2048KB,12,iops,KIOPS,274.000000
randread,16,2048KB,16,iops,KIOPS,325.000000
randread,16,2048KB,20,iops,KIOPS,325.000000
randread,16,2048KB,24,iops,KIOPS,321.000000
randread,16,2048KB,28,iops,KIOPS,359.000000
randread,16,2048KB,32,iops,KIOPS,392.000000
randread,64,512KB,1,iops,KIOPS,162.000000
randread,64,512KB,2,iops,KIOPS,194.000000
randread,64,512KB,4,iops,KIOPS,227.000000
randread,64,512KB,6,iops,KIOPS,259.000000
randread,64,512KB,8,iops,KIOPS,296.000000
randread,64,512KB,12,iops,KIOPS,392.000000
randread,64,512KB,16,iops,KIOPS,469.000000
randread,64,512KB,20,iops,KIOPS,540.000000
randread,64,512KB,24,iops,KIOPS,588.000000
randread,64,512KB,28,iops,KIOPS,620.000000
randread,64,512KB,32,iops,KIOPS,648.000000
randread,64,1024KB,1,iops,KIOPS,154.000000
randread,64,1024KB,2,iops,KIOPS,196.000000
randread,64,1024KB,4,iops,KIOPS,229.000000
randread,64,1024KB,6,iops,KIOPS,262.000000
randread,64,1024KB,8,iops,KIOPS,310.000000
randread,64,1024KB,12,iops,KIOPS,416.000000
randread,64,1024KB,16,iops,KIOPS,500.000000
randread,64,1024KB,20,iops,KIOPS,560.000000
randread,64,1024KB,24,iops,KIOPS,594.000000
randread,64,1024KB,28,iops,KIOPS,632.000000
randread,64,1024KB,32,iops,KIOPS,663.000000
randread,64,1536KB,1,iops,KIOPS,150.000000
randread,64,1536KB,2,iops,KIOPS,196.000000
randread,64,1536KB,4,iops,KIOPS,235.000000
randread,64,1536KB,6,iops,KIOPS,275.000000
randread,64,1536KB,8,iops,KIOPS,328.000000
randread,64,1536KB,12,iops,KIOPS,442.000000
randread,64,1536KB,16,iops,KIOPS,506.000000
randread,64,1536KB,20,iops,KIOPS,574.000000
randread,64,1536KB,24,iops,KIOPS,616.000000
randread,64,1536KB,28,iops,KIOPS,601.000000
randread,64,1536KB,32,iops,KIOPS,603.000000
randread,64,2048KB,1,iops,KIOPS,175.000000
randread,64,2048KB,2,iops,KIOPS,214.000000
randread,64,2048KB,4,iops,KIOPS,246.000000
randread,64,2048KB,6,iops,KIOPS,291.000000
randread,64,2048KB,8,iops,KIOPS,333.000000
randread,64,2048KB,12,iops,KIOPS,454.000000
randread,64,2048KB,16,iops,KIOPS,570.000000
randread,64,2048KB,20,iops,KIOPS,625.000000
randread,64,2048KB,24,iops,KIOPS,655.000000
randread,64,2048KB,28,iops,KIOPS,668.000000
randread,64,2048KB,32,iops,KIOPS,753.000000
randwrite,1,512KB,1,iops,KIOPS,1.788000
randwrite,1,512KB,2,iops,KIOPS,3.418000
randwrite,1,512KB,4,iops,KIOPS,7.619000
randwrite,1,512KB,8,iops,KIOPS,15.700000
randwrite,1,512KB,16,iops,KIOPS,29.600000
randwrite,1,512KB,24,iops,KIOPS,41.800000
randwrite,1,512KB,40,iops,KIOPS,61.200000
randwrite,1,512KB,56,iops,KIOPS,76.300000
randwrite,1,512KB,72,iops,KIOPS,78.400000
randwrite,1,512KB,88,iops,KIOPS,68.300000
randwrite,1,512KB,96,iops,KIOPS,65.900000
randwrite,1,512KB,112,iops,KIOPS,58.500000
randwrite,1,512KB,128,iops,KIOPS,58.700000
randwrite,1,1024KB,1,iops,KIOPS,1.961000
randwrite,1,1024KB,2,iops,KIOPS,4.066000
randwrite,1,1024KB,4,iops,KIOPS,8.167000
randwrite,1,1024KB,8,iops,KIOPS,15.900000
randwrite,1,1024KB,16,iops,KIOPS,18.700000
randwrite,1,1024KB,24,iops,KIOPS,44.200000
randwrite,1,1024KB,40,iops,KIOPS,65.000000
randwrite,1,1024KB,56,iops,KIOPS,81.100000
randwrite,1,1024KB,72,iops,KIOPS,67.600000
randwrite,1,1024KB,88,iops,KIOPS,52.800000
randwrite,1,1024KB,96,iops,KIOPS,49.400000
randwrite,1,1024KB,112,iops,KIOPS,41.000000
randwrite,1,1024KB,128,iops,KIOPS,36.600000
randwrite,1,1536KB,1,iops,KIOPS,2.108000
randwrite,1,1536KB,2,iops,KIOPS,4.210000
randwrite,1,1536KB,4,iops,KIOPS,8.341000
randwrite,1,1536KB,8,iops,KIOPS,17.200000
randwrite,1,1536KB,16,iops,KIOPS,32.600000
randwrite,1,1536KB,24,iops,KIOPS,46.400000
randwrite,1,1536KB,40,iops,KIOPS,68.300000
randwrite,1,1536KB,56,iops,KIOPS,86.000000
randwrite,1,1536KB,72,iops,KIOPS,50.300000
randwrite,1,1536KB,88,iops,KIOPS,43.100000
randwrite,1,1536KB,96,iops,KIOPS,34.300000
randwrite,1,1536KB,112,iops,KIOPS,29.900000
randwrite,1,1536KB,128,iops,KIOPS,25.000000
randwrite,1,2048KB,1,iops,KIOPS,2.187000
randwrite,1,2048KB,2,iops,KIOPS,4.337000
