scenario,time_sec,iops,in_steady_tail
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.148,19302.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.199,18820.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.253,16130.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.304,13566.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.354,27680.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.404,16640.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.455,22440.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.505,16040.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.555,27420.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.606,32860.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.657,35120.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.707,28240.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.758,36800.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.808,35060.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.858,36600.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.909,30260.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,0.959,31540.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.010,21520.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.061,25100.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.111,29160.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.162,32560.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.212,28280.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.263,25980.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.315,24664.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.365,16020.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.419,19735.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.469,32580.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.519,32780.000,0
Job4-Depth64-L2P_in_HMB-WB_Disabled,1.569,39100.000,0
