metric,before_avg,after_avg,change_pct
samples,25.000000,3.000000,-88.00
calls,23304.240000,48731.000000,109.11
segs,23304.240000,48731.000000,109.11
throughput_mib_s,93216.960000,194924.000000,109.11
avg_us,37.388400,2.346667,-93.72
queue_wait_us,54.518800,12.153333,-77.71
mcp_read_us,0.160400,0.136667,-14.80
parse_us,0.011200,0.010000,-10.71
copy_us,1.029200,0.416667,-59.52
complete_us,1.753600,1.230000,-29.86
notify_us,34.236000,0.000000,-100.00
notify_submit_per_seg_us,,3.336016,
notify_qwait_per_seg_us,,813.142060,
