time_sec,kernel_ts_sec,elapsed_sec,calls,segs,bytes,throughput_mib_s,avg_us,queue_wait_us,mcp_read_us,parse_us,copy_us,notify_us,complete_us,mcp_ready,parse_fail,copy_done,read_done,fallback,mode,bottleneck_component,bottleneck_value_us,bottleneck_code,queue_wait_share_pct,notify_share_pct
1.0,80.113089,0.0,25344.0,25344.0,103809024.0,99.0,34.3,42.59,0.13,0.01,0.58,32.05,1.35,25337.0,0.0,25344.0,0.0,0.0,relaxed,queue_wait,42.59,0.0,55.52079259548951,41.780732629383394
2.0,81.113411,1.000321999999997,22306.0,22306.0,91365376.0,87.1328125,38.08,61.37,0.17,0.02,0.95,34.89,1.86,22305.0,0.0,22306.0,0.0,0.0,relaxed,queue_wait,61.37,0.0,61.82752367519646,35.150110820068505
3.0,82.113724,2.0006350000000026,24855.0,24855.0,101806080.0,97.08984375,34.88,50.25,0.14,0.01,0.78,32.23,1.55,24854.0,0.0,24855.0,0.0,0.0,relaxed,queue_wait,50.25,0.0,59.1454802259887,37.935499058380415
4.0,83.114007,3.0009179999999986,22510.0,22510.0,92200960.0,87.9296875,38.04,59.97,0.16,0.01,0.94,34.81,1.93,22510.0,0.0,22510.0,0.0,0.0,relaxed,queue_wait,59.97,0.0,61.30648129216928,35.58576978123083
5.0,84.114271,4.001182,23743.0,23743.0,97251328.0,92.74609375,36.22,53.59,0.14,0.01,0.84,33.33,1.71,23744.0,0.0,23743.0,0.0,0.0,relaxed,queue_wait,53.59,0.0,59.79692033028342,37.19035929480026
6.0,85.114677,5.001587999999998,21694.0,21694.0,88858624.0,84.7421875,38.92,65.32,0.17,0.01,1.48,35.14,1.93,21694.0,0.0,21694.0,0.0,0.0,relaxed,queue_wait,65.32,0.0,62.77751081210955,33.7722248918789
7.0,86.114916,6.001826999999992,22702.0,22702.0,92987392.0,88.6796875,38.11,64.56,0.16,0.02,1.93,33.84,1.98,22710.0,0.0,22702.0,0.0,0.0,relaxed,queue_wait,64.56,0.0,62.99151136696263,33.01785540052688
8.0,87.115147,7.002057999999991,23781.0,23781.0,97406976.0,92.89453125,35.99,51.48,0.16,0.01,1.71,32.26,1.66,23772.0,0.0,23781.0,0.0,0.0,relaxed,queue_wait,51.48,0.0,58.982584784601286,36.961503208066
9.0,88.115367,8.002278000000004,21984.0,21984.0,90046464.0,85.875,39.05,61.57,0.15,0.01,2.21,34.72,1.77,21984.0,0.0,21984.0,0.0,0.0,relaxed,queue_wait,61.57,0.0,61.30638255501345,34.571343224136214
10.0,89.115627,9.002538000000001,24585.0,24585.0,100700160.0,96.03515625,36.01,63.26,0.14,0.01,2.33,31.9,1.44,24586.0,0.0,24585.0,0.0,0.0,relaxed,queue_wait,63.26,0.0,63.84739604360114,32.19620508679854
