[FEMU] Log: WB copy_done perf(1s): calls=25583 segs=25583 avg=16.53us | lock_wait=0.15us lock_hold=12.80us lookup=0.10us mcp_release=0.03us loop=12.36us mirror=0.56us index=0.23us reclaim=0.02us rm_track=0.16us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=16611 segs=16611 avg=47.49us | lock_wait=0.17us lock_hold=42.07us lookup=0.14us mcp_release=0.03us loop=41.51us mirror=0.80us index=0.31us reclaim=0.03us rm_track=0.23us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=11485 segs=11485 avg=69.99us | lock_wait=0.18us lock_hold=64.74us lookup=0.16us mcp_release=0.04us loop=64.06us mirror=0.99us index=0.36us reclaim=0.04us rm_track=0.32us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=9203 segs=9203 avg=87.16us | lock_wait=0.22us lock_hold=81.94us lookup=0.17us mcp_release=0.04us loop=81.18us mirror=1.02us index=0.40us reclaim=0.04us rm_track=0.37us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=7539 segs=7539 avg=106.55us | lock_wait=0.23us lock_hold=101.42us lookup=0.18us mcp_release=0.04us loop=100.58us mirror=1.13us index=0.44us reclaim=0.04us rm_track=0.42us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=7205 segs=7205 avg=113.56us | lock_wait=0.27us lock_hold=108.31us lookup=0.19us mcp_release=0.04us loop=107.45us mirror=1.06us index=0.44us reclaim=0.04us rm_track=0.44us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=6572 segs=6572 avg=124.83us | lock_wait=0.22us lock_hold=119.71us lookup=0.19us mcp_release=0.05us loop=118.84us mirror=1.06us index=0.43us reclaim=0.04us rm_track=0.45us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5631 segs=5631 avg=147.41us | lock_wait=0.24us lock_hold=141.93us lookup=0.19us mcp_release=0.05us loop=140.99us mirror=1.20us index=0.46us reclaim=0.05us rm_track=0.50us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5570 segs=5570 avg=151.66us | lock_wait=0.25us lock_hold=146.25us lookup=0.19us mcp_release=0.05us loop=145.30us mirror=1.15us index=0.46us reclaim=0.05us rm_track=0.50us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5034 segs=5034 avg=168.26us | lock_wait=0.20us lock_hold=162.70us lookup=0.20us mcp_release=0.05us loop=161.69us mirror=1.15us index=0.47us reclaim=0.05us rm_track=0.54us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4805 segs=4805 avg=179.12us | lock_wait=0.23us lock_hold=173.36us lookup=0.20us mcp_release=0.05us loop=172.35us mirror=1.22us index=0.52us reclaim=0.05us rm_track=0.54us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4711 segs=4711 avg=183.25us | lock_wait=0.23us lock_hold=177.82us lookup=0.20us mcp_release=0.05us loop=176.83us mirror=1.14us index=0.48us reclaim=0.05us rm_track=0.54us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4009 segs=4009 avg=218.07us | lock_wait=0.26us lock_hold=211.82us lookup=0.22us mcp_release=0.06us loop=210.73us mirror=1.29us index=0.52us reclaim=0.05us rm_track=0.60us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4097 segs=4097 avg=212.36us | lock_wait=0.26us lock_hold=206.28us lookup=0.21us mcp_release=0.06us loop=205.20us mirror=1.21us index=0.50us reclaim=0.06us rm_track=0.59us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=3918 segs=3918 avg=223.15us | lock_wait=0.24us lock_hold=217.09us lookup=0.27us mcp_release=0.06us loop=215.94us mirror=1.22us index=0.52us reclaim=0.05us rm_track=0.59us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4887 segs=4887 avg=177.86us | lock_wait=3.29us lock_hold=169.38us lookup=0.20us mcp_release=0.06us loop=168.47us mirror=1.15us index=0.45us reclaim=0.04us rm_track=0.46us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5793 segs=5793 avg=147.50us | lock_wait=6.54us lock_hold=136.02us lookup=0.18us mcp_release=0.05us loop=135.21us mirror=1.00us index=0.42us reclaim=0.04us rm_track=0.40us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=20480 segs=20480 avg=34.94us | lock_wait=0.12us lock_hold=30.43us lookup=0.12us mcp_release=0.04us loop=29.89us mirror=0.76us index=0.29us reclaim=0.03us rm_track=0.22us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=11515 segs=11515 avg=67.74us | lock_wait=0.15us lock_hold=62.58us lookup=0.15us mcp_release=0.04us loop=61.94us mirror=0.95us index=0.37us reclaim=0.03us rm_track=0.28us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=8756 segs=8756 avg=90.46us | lock_wait=0.16us lock_hold=85.33us lookup=0.17us mcp_release=0.04us loop=84.62us mirror=1.01us index=0.41us reclaim=0.04us rm_track=0.33us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=7928 segs=7928 avg=102.65us | lock_wait=0.18us lock_hold=97.67us lookup=0.17us mcp_release=0.04us loop=96.92us mirror=0.95us index=0.41us reclaim=0.04us rm_track=0.36us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=6774 segs=6774 avg=121.39us | lock_wait=0.18us lock_hold=116.29us lookup=0.18us mcp_release=0.04us loop=115.47us mirror=1.07us index=0.42us reclaim=0.04us rm_track=0.42us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5911 segs=5911 avg=141.06us | lock_wait=0.18us lock_hold=135.66us lookup=0.20us mcp_release=0.05us loop=134.74us mirror=1.22us index=0.47us reclaim=0.04us rm_track=0.49us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=5662 segs=5662 avg=148.59us | lock_wait=0.19us lock_hold=143.13us lookup=0.19us mcp_release=0.04us loop=142.20us mirror=1.14us index=0.46us reclaim=0.05us rm_track=0.50us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4999 segs=4999 avg=169.14us | lock_wait=0.23us lock_hold=163.05us lookup=0.20us mcp_release=0.05us loop=162.10us mirror=1.20us index=0.50us reclaim=0.05us rm_track=0.52us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4736 segs=4736 avg=178.18us | lock_wait=0.17us lock_hold=172.63us lookup=0.19us mcp_release=0.04us loop=171.67us mirror=1.20us index=0.49us reclaim=0.05us rm_track=0.53us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4685 segs=4685 avg=184.89us | lock_wait=0.20us lock_hold=179.22us lookup=0.19us mcp_release=0.04us loop=178.26us mirror=1.22us index=0.49us reclaim=0.05us rm_track=0.54us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=3892 segs=3892 avg=226.44us | lock_wait=0.20us lock_hold=220.03us lookup=0.20us mcp_release=0.05us loop=218.95us mirror=1.30us index=0.55us reclaim=0.05us rm_track=0.64us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=3878 segs=3878 avg=223.83us | lock_wait=0.23us lock_hold=217.79us lookup=0.21us mcp_release=0.05us loop=216.72us mirror=1.33us index=0.56us reclaim=0.05us rm_track=0.61us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
[FEMU] Log: WB copy_done perf(1s): calls=4055 segs=4055 avg=212.90us | lock_wait=0.19us lock_hold=206.91us lookup=0.19us mcp_release=0.04us loop=205.92us mirror=1.17us index=0.50us reclaim=0.05us rm_track=0.55us | trimmed=0 mirror_fail=0 keep_old_busy=0 insert_fail=0
